gwa,total_units,professional_ethics,scientific_spirit,humanistic_quality,computer_cognition,software_design,system_usage,sustainable_development,team_capacity,job_application,programming_langs_count,web_dev_count,database_count,tools_count,soft_skills_avg,certification_count,employability_label
2.34,121,3,2,4,2,2,4,4,2,2,5,4,2,5,3.44,4,1
1.8,141,5,4,4,5,5,5,4,5,5,7,6,2,3,4.46,3,0
3.6,160,4,2,3,3,4,2,4,3,2,0,0,1,0,2.78,2,2
3.78,158,1,3,3,1,1,2,2,3,3,1,1,2,0,2.84,1,2
2.2,130,4,5,5,5,5,5,5,5,5,3,5,3,7,3.94,2,0
1.16,149,4,5,5,5,5,5,4,4,4,4,2,4,7,4.01,7,0
3.41,122,4,2,3,4,4,4,2,2,4,1,4,1,2,2.81,0,1
1.25,151,5,5,5,5,5,5,5,5,5,6,3,5,3,3.75,2,0
4.27,137,2,2,2,3,3,2,2,1,1,1,1,0,2,2.23,2,2
2.59,146,4,2,2,3,2,3,3,2,2,2,1,1,4,3.02,0,1
3.9,132,4,3,2,4,2,3,4,4,4,3,1,0,1,1.58,1,2
4.12,129,2,3,4,3,3,2,4,4,2,0,1,1,3,2.74,2,2
4.68,127,2,3,4,3,3,2,4,4,4,1,0,0,3,2.34,2,2
2.45,146,5,3,3,3,3,5,3,3,3,3,1,1,2,3.44,2,1
4.89,130,3,2,4,3,4,4,2,4,4,2,0,1,1,2.27,2,2
3.38,135,2,3,4,2,2,4,4,2,2,3,0,1,1,1.56,0,2
2.2,132,4,3,3,4,4,4,3,3,3,5,3,2,6,4.81,8,0
2.08,121,5,5,5,4,5,5,5,5,5,3,6,5,3,4.18,6,0
2.86,154,3,2,4,4,2,4,3,2,4,3,4,1,5,3.03,4,1
3.88,140,2,3,3,1,3,1,3,1,3,1,1,2,1,1.82,2,2
3.06,142,4,4,2,3,2,2,3,3,2,1,1,2,5,2.55,2,1
1.34,129,5,5,3,5,4,5,3,5,4,4,2,4,3,4.26,6,0
3.87,143,3,1,3,2,3,3,3,1,1,0,2,2,2,2.94,0,2
2.06,123,3,4,3,3,2,4,2,3,3,1,2,1,3,3.9,4,1
3.62,132,3,2,1,2,2,1,1,2,2,2,0,2,0,2.29,1,2
1.56,127,3,3,3,5,3,4,5,4,5,7,3,4,6,3.97,4,0
3.47,126,4,4,3,4,4,4,2,3,4,1,1,1,2,2.34,2,2
1.96,121,5,5,5,4,5,4,4,5,5,7,2,2,5,3.63,3,0
2.23,158,4,5,5,3,3,5,3,3,3,2,1,1,3,2.59,4,1
2.33,148,3,4,4,2,2,4,4,2,4,4,2,4,5,3.06,4,1
4.86,129,3,1,3,2,1,1,1,2,1,3,0,0,1,2.42,1,2
2.06,157,5,5,5,5,4,5,4,4,5,5,2,5,3,4.95,3,0
3.88,123,4,4,2,4,2,2,2,4,4,3,0,0,1,1.13,0,2
1.55,155,4,5,4,5,4,4,4,5,4,8,4,4,8,4.77,7,0
1.75,124,5,5,4,5,4,5,5,5,4,7,4,5,6,4.97,3,0
1.84,143,5,5,5,5,5,4,4,4,5,7,4,2,6,4.26,8,0
4.01,160,3,4,2,3,2,3,2,4,4,0,1,1,0,2.27,1,2
3.81,139,1,1,2,2,1,1,2,1,1,2,2,2,2,1.95,2,2
3.37,139,3,3,4,4,2,2,3,3,4,2,4,3,4,2.88,0,1
